SENTENCE_ID,ITEM_ID,LANGUAGE,PHENOMENON,TRIGGER_TYPE,CONDITION,SENTENCE,PRESUPPOSITION,DISTRACTOR,OPTION_A,OPTION_B,EXPECTED,COUNTERBALANCED,MODEL_RESPONSE,CORRECT,PROMPT
COS-001,BN-COS-001-AFF,BN,presupposition,change_of_state,affirmative,অ্যামান্ডা চলে গিয়েছিল।,অ্যামান্ডা আগে এখানে ছিল।,বাক্যটি অ্যামান্ডা সম্পর্কে কোনো পূর্বধারণা করে না।,অ্যামান্ডা আগে এখানে ছিল।,বাক্যটি অ্যামান্ডা সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""অ্যামান্ডা চলে গিয়েছিল।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) অ্যামান্ডা আগে এখানে ছিল।
B) বাক্যটি অ্যামান্ডা সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-001,BN-COS-001-NEG,BN,presupposition,change_of_state,negated,অ্যামান্ডা চলে যায়নি।,অ্যামান্ডা আগে এখানে ছিল।,বাক্যটি অ্যামান্ডা সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি অ্যামান্ডা সম্পর্কে কোনো পূর্বধারণা করে না।,অ্যামান্ডা আগে এখানে ছিল।,B,False,,,"বাক্য: ""অ্যামান্ডা চলে যায়নি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি অ্যামান্ডা সম্পর্কে কোনো পূর্বধারণা করে না।
B) অ্যামান্ডা আগে এখানে ছিল।

শুধু A বা B লিখুন।"
COS-002,BN-COS-002-AFF,BN,presupposition,change_of_state,affirmative,ক্যাথেরিন চলে গেছে।,ক্যাথেরিন আগে এখানে ছিল।,বাক্যটি ক্যাথেরিন সম্পর্কে কোনো পূর্বধারণা করে না।,ক্যাথেরিন আগে এখানে ছিল।,বাক্যটি ক্যাথেরিন সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""ক্যাথেরিন চলে গেছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) ক্যাথেরিন আগে এখানে ছিল।
B) বাক্যটি ক্যাথেরিন সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-002,BN-COS-002-NEG,BN,presupposition,change_of_state,negated,ক্যাথেরিন চলে যায়নি।,ক্যাথেরিন আগে এখানে ছিল।,বাক্যটি ক্যাথেরিন সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি ক্যাথেরিন সম্পর্কে কোনো পূর্বধারণা করে না।,ক্যাথেরিন আগে এখানে ছিল।,B,False,,,"বাক্য: ""ক্যাথেরিন চলে যায়নি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি ক্যাথেরিন সম্পর্কে কোনো পূর্বধারণা করে না।
B) ক্যাথেরিন আগে এখানে ছিল।

শুধু A বা B লিখুন।"
COS-003,BN-COS-003-AFF,BN,presupposition,change_of_state,affirmative,জেসন চলে যাচ্ছিল।,জেসন আগে এখানে ছিল।,বাক্যটি জেসন সম্পর্কে কোনো পূর্বধারণা করে না।,জেসন আগে এখানে ছিল।,বাক্যটি জেসন সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""জেসন চলে যাচ্ছিল।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) জেসন আগে এখানে ছিল।
B) বাক্যটি জেসন সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-003,BN-COS-003-NEG,BN,presupposition,change_of_state,negated,জেসন চলে যাচ্ছিল না।,জেসন আগে এখানে ছিল।,বাক্যটি জেসন সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি জেসন সম্পর্কে কোনো পূর্বধারণা করে না।,জেসন আগে এখানে ছিল।,B,False,,,"বাক্য: ""জেসন চলে যাচ্ছিল না।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি জেসন সম্পর্কে কোনো পূর্বধারণা করে না।
B) জেসন আগে এখানে ছিল।

শুধু A বা B লিখুন।"
COS-004,BN-COS-004-AFF,BN,presupposition,change_of_state,affirmative,ড্যান ঘুম থেকে উঠেছে।,ড্যান আগে ঘুমিয়ে ছিল।,বাক্যটি ড্যান সম্পর্কে কোনো পূর্বধারণা করে না।,ড্যান আগে ঘুমিয়ে ছিল।,বাক্যটি ড্যান সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""ড্যান ঘুম থেকে উঠেছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) ড্যান আগে ঘুমিয়ে ছিল।
B) বাক্যটি ড্যান সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-004,BN-COS-004-NEG,BN,presupposition,change_of_state,negated,ড্যান ঘুম থেকে ওঠেনি।,ড্যান আগে ঘুমিয়ে ছিল।,বাক্যটি ড্যান সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি ড্যান সম্পর্কে কোনো পূর্বধারণা করে না।,ড্যান আগে ঘুমিয়ে ছিল।,B,False,,,"বাক্য: ""ড্যান ঘুম থেকে ওঠেনি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি ড্যান সম্পর্কে কোনো পূর্বধারণা করে না।
B) ড্যান আগে ঘুমিয়ে ছিল।

শুধু A বা B লিখুন।"
COS-005,BN-COS-005-AFF,BN,presupposition,change_of_state,affirmative,লরি ঘুমিয়ে পড়ছিল।,লরি জেগে ছিল।,বাক্যটি লরি সম্পর্কে কোনো পূর্বধারণা করে না।,লরি জেগে ছিল।,বাক্যটি লরি সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""লরি ঘুমিয়ে পড়ছিল।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) লরি জেগে ছিল।
B) বাক্যটি লরি সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-005,BN-COS-005-NEG,BN,presupposition,change_of_state,negated,লরি ঘুমিয়ে পড়ছিল না।,লরি জেগে ছিল।,বাক্যটি লরি সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি লরি সম্পর্কে কোনো পূর্বধারণা করে না।,লরি জেগে ছিল।,B,False,,,"বাক্য: ""লরি ঘুমিয়ে পড়ছিল না।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি লরি সম্পর্কে কোনো পূর্বধারণা করে না।
B) লরি জেগে ছিল।

শুধু A বা B লিখুন।"
