SENTENCE_ID,ITEM_ID,LANGUAGE,PHENOMENON,SCALAR_TERM,CONDITION,SENTENCE,OPTION_LITERAL,OPTION_PRAGMATIC,OPTION_A,OPTION_B,EXPECTED,CORRECT_TYPE,COUNTERBALANCED,MODEL_RESPONSE,RUN1,RUN2,RUN3,MAJORITY_RESPONSE,CORRECT,PROMPT
SOME-001,EN-SOME-001-NC,EN,scalar_implicature,some,no_context,Some women are needing the library to conspire.,At least one of the women are needing the library to conspire — and possibly all of them,At least one of the women are needing the library to conspire — but not all of them,At least one of the women are needing the library to conspire — but not all of them,At least one of the women are needing the library to conspire — and possibly all of them,A,pragmatic,True,B,,,,,False,"Sentence: ""Some women are needing the library to conspire.""

A) At least one of the women are needing the library to conspire — but not all of them
B) At least one of the women are needing the library to conspire — and possibly all of them

Answer with only A or B."
SOME-001,EN-SOME-001-UB,EN,scalar_implicature,some,upper_bound_QUD,Some women are needing the library to conspire.,At least one of the women are needing the library to conspire — and possibly all of them,At least one of the women are needing the library to conspire — but not all of them,At least one of the women are needing the library to conspire — and possibly all of them,At least one of the women are needing the library to conspire — but not all of them,B,pragmatic,False,A,,,,,False,"Speaker A: ""Did all of the women are needing the library to conspire?""
Speaker B: ""Some women are needing the library to conspire.""

A) At least one of the women are needing the library to conspire — and possibly all of them
B) At least one of the women are needing the library to conspire — but not all of them

Answer with only A or B."
SOME-001,EN-SOME-001-LB,EN,scalar_implicature,some,lower_bound_QUD,Some women are needing the library to conspire.,At least one of the women are needing the library to conspire — and possibly all of them,At least one of the women are needing the library to conspire — but not all of them,At least one of the women are needing the library to conspire — but not all of them,At least one of the women are needing the library to conspire — and possibly all of them,B,literal,True,B,,,,,True,"Speaker A: ""Did any of the women are needing the library to conspire?""
Speaker B: ""Some women are needing the library to conspire.""

A) At least one of the women are needing the library to conspire — but not all of them
B) At least one of the women are needing the library to conspire — and possibly all of them

Answer with only A or B."
SOME-002,EN-SOME-002-NC,EN,scalar_implicature,some,no_context,Some men criticized Travis.,At least one of the men criticized Travis — and possibly all of them,At least one of the men criticized Travis — but not all of them,At least one of the men criticized Travis — and possibly all of them,At least one of the men criticized Travis — but not all of them,B,pragmatic,False,A,,,,,False,"Sentence: ""Some men criticized Travis.""

A) At least one of the men criticized Travis — and possibly all of them
B) At least one of the men criticized Travis — but not all of them

Answer with only A or B."
SOME-002,EN-SOME-002-UB,EN,scalar_implicature,some,upper_bound_QUD,Some men criticized Travis.,At least one of the men criticized Travis — and possibly all of them,At least one of the men criticized Travis — but not all of them,At least one of the men criticized Travis — but not all of them,At least one of the men criticized Travis — and possibly all of them,A,pragmatic,True,B,,,,,False,"Speaker A: ""Did all of the men criticized Travis?""
Speaker B: ""Some men criticized Travis.""

A) At least one of the men criticized Travis — but not all of them
B) At least one of the men criticized Travis — and possibly all of them

Answer with only A or B."
SOME-002,EN-SOME-002-LB,EN,scalar_implicature,some,lower_bound_QUD,Some men criticized Travis.,At least one of the men criticized Travis — and possibly all of them,At least one of the men criticized Travis — but not all of them,At least one of the men criticized Travis — and possibly all of them,At least one of the men criticized Travis — but not all of them,A,literal,False,A,,,,,True,"Speaker A: ""Did any of the men criticized Travis?""
Speaker B: ""Some men criticized Travis.""

A) At least one of the men criticized Travis — and possibly all of them
B) At least one of the men criticized Travis — but not all of them

Answer with only A or B."
SOME-003,EN-SOME-003-NC,EN,scalar_implicature,some,no_context,Some doctors had disagreed.,At least one of the doctors had disagreed — and possibly all of them,At least one of the doctors had disagreed — but not all of them,At least one of the doctors had disagreed — but not all of them,At least one of the doctors had disagreed — and possibly all of them,A,pragmatic,True,B,,,,,False,"Sentence: ""Some doctors had disagreed.""

A) At least one of the doctors had disagreed — but not all of them
B) At least one of the doctors had disagreed — and possibly all of them

Answer with only A or B."
SOME-003,EN-SOME-003-UB,EN,scalar_implicature,some,upper_bound_QUD,Some doctors had disagreed.,At least one of the doctors had disagreed — and possibly all of them,At least one of the doctors had disagreed — but not all of them,At least one of the doctors had disagreed — and possibly all of them,At least one of the doctors had disagreed — but not all of them,B,pragmatic,False,A,,,,,False,"Speaker A: ""Did all of the doctors had disagreed?""
Speaker B: ""Some doctors had disagreed.""

A) At least one of the doctors had disagreed — and possibly all of them
B) At least one of the doctors had disagreed — but not all of them

Answer with only A or B."
SOME-003,EN-SOME-003-LB,EN,scalar_implicature,some,lower_bound_QUD,Some doctors had disagreed.,At least one of the doctors had disagreed — and possibly all of them,At least one of the doctors had disagreed — but not all of them,At least one of the doctors had disagreed — but not all of them,At least one of the doctors had disagreed — and possibly all of them,B,literal,True,B,,,,,True,"Speaker A: ""Did any of the doctors had disagreed?""
Speaker B: ""Some doctors had disagreed.""

A) At least one of the doctors had disagreed — but not all of them
B) At least one of the doctors had disagreed — and possibly all of them

Answer with only A or B."
SOME-004,EN-SOME-004-NC,EN,scalar_implicature,some,no_context,Some students had complained.,At least one of the students had complained — and possibly all of them,At least one of the students had complained — but not all of them,At least one of the students had complained — and possibly all of them,At least one of the students had complained — but not all of them,B,pragmatic,False,A,,,,,False,"Sentence: ""Some students had complained.""

A) At least one of the students had complained — and possibly all of them
B) At least one of the students had complained — but not all of them

Answer with only A or B."
