SENTENCE_ID,ITEM_ID,LANGUAGE,PHENOMENON,TRIGGER_TYPE,CONDITION,SENTENCE,PRESUPPOSITION,DISTRACTOR,OPTION_A,OPTION_B,EXPECTED,COUNTERBALANCED,MODEL_RESPONSE,CORRECT,PROMPT
COS-001,EN-COS-001-AFF,EN,presupposition,change_of_state,affirmative,Amanda had left.,Amanda used to be here.,The sentence makes no background assumption about Amanda.,Amanda used to be here.,The sentence makes no background assumption about Amanda.,A,True,,,"Sentence: ""Amanda had left.""

This sentence takes something for granted before making its claim.
What background assumption does it make?

A) Amanda used to be here.
B) The sentence makes no background assumption about Amanda.

Answer with only A or B."
COS-001,EN-COS-001-NEG,EN,presupposition,change_of_state,negated,Amanda hadn't left.,Amanda used to be here.,The sentence makes no background assumption about Amanda.,The sentence makes no background assumption about Amanda.,Amanda used to be here.,B,False,,,"Sentence: ""Amanda hadn't left.""

This sentence takes something for granted before making its claim.
What background assumption does it make?

A) The sentence makes no background assumption about Amanda.
B) Amanda used to be here.

Answer with only A or B."
COS-002,EN-COS-002-AFF,EN,presupposition,change_of_state,affirmative,Catherine departed.,Catherine used to be here.,The sentence makes no background assumption about Catherine.,Catherine used to be here.,The sentence makes no background assumption about Catherine.,A,True,,,"Sentence: ""Catherine departed.""

This sentence takes something for granted before making its claim.
What background assumption does it make?

A) Catherine used to be here.
B) The sentence makes no background assumption about Catherine.

Answer with only A or B."
COS-002,EN-COS-002-NEG,EN,presupposition,change_of_state,negated,Catherine didn't depart.,Catherine used to be here.,The sentence makes no background assumption about Catherine.,The sentence makes no background assumption about Catherine.,Catherine used to be here.,B,False,,,"Sentence: ""Catherine didn't depart.""

This sentence takes something for granted before making its claim.
What background assumption does it make?

A) The sentence makes no background assumption about Catherine.
B) Catherine used to be here.

Answer with only A or B."
COS-003,EN-COS-003-AFF,EN,presupposition,change_of_state,affirmative,Jason was leaving.,Jason used to be here.,The sentence makes no background assumption about Jason.,Jason used to be here.,The sentence makes no background assumption about Jason.,A,True,,,"Sentence: ""Jason was leaving.""

This sentence takes something for granted before making its claim.
What background assumption does it make?

A) Jason used to be here.
B) The sentence makes no background assumption about Jason.

Answer with only A or B."
COS-003,EN-COS-003-NEG,EN,presupposition,change_of_state,negated,Jason wasn't leaving.,Jason used to be here.,The sentence makes no background assumption about Jason.,The sentence makes no background assumption about Jason.,Jason used to be here.,B,False,,,"Sentence: ""Jason wasn't leaving.""

This sentence takes something for granted before making its claim.
What background assumption does it make?

A) The sentence makes no background assumption about Jason.
B) Jason used to be here.

Answer with only A or B."
COS-004,EN-COS-004-AFF,EN,presupposition,change_of_state,affirmative,Dan woke up.,Dan used to be asleep.,The sentence makes no background assumption about Dan.,Dan used to be asleep.,The sentence makes no background assumption about Dan.,A,True,,,"Sentence: ""Dan woke up.""

This sentence takes something for granted before making its claim.
What background assumption does it make?

A) Dan used to be asleep.
B) The sentence makes no background assumption about Dan.

Answer with only A or B."
COS-004,EN-COS-004-NEG,EN,presupposition,change_of_state,negated,Dan didn't wake up.,Dan used to be asleep.,The sentence makes no background assumption about Dan.,The sentence makes no background assumption about Dan.,Dan used to be asleep.,B,False,,,"Sentence: ""Dan didn't wake up.""

This sentence takes something for granted before making its claim.
What background assumption does it make?

A) The sentence makes no background assumption about Dan.
B) Dan used to be asleep.

Answer with only A or B."
COS-005,EN-COS-005-AFF,EN,presupposition,change_of_state,affirmative,Lori was falling asleep.,Lori was awake.,The sentence makes no background assumption about Lori.,Lori was awake.,The sentence makes no background assumption about Lori.,A,True,,,"Sentence: ""Lori was falling asleep.""

This sentence takes something for granted before making its claim.
What background assumption does it make?

A) Lori was awake.
B) The sentence makes no background assumption about Lori.

Answer with only A or B."
COS-005,EN-COS-005-NEG,EN,presupposition,change_of_state,negated,Lori wasn't falling asleep.,Lori was awake.,The sentence makes no background assumption about Lori.,The sentence makes no background assumption about Lori.,Lori was awake.,B,False,,,"Sentence: ""Lori wasn't falling asleep.""

This sentence takes something for granted before making its claim.
What background assumption does it make?

A) The sentence makes no background assumption about Lori.
B) Lori was awake.

Answer with only A or B."
