ITEM_ID,LANGUAGE,PHENOMENON,LABEL,TWEET,OPTION_SARCASTIC,OPTION_SINCERE,OPTION_A,OPTION_B,EXPECTED,COUNTERBALANCED,MODEL_RESPONSE,CORRECT,PROMPT
BN-IRO-001,BN,irony_sarcasm,sincere,আমি সত্যিই সংগীতশিল্পীদের ভালোবাসি।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,B,True,,,"টুইট: ""আমি সত্যিই সংগীতশিল্পীদের ভালোবাসি।""

বক্তা সম্ভবত কী বোঝাতে চাইছেন?

A) বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।
B) বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।

শুধু A বা B লিখুন।"
BN-IRO-002,BN,irony_sarcasm,sarcastic,শিল্পীদের সাথে দেখা হলো। এর চেয়ে ভালো অভিজ্ঞতা আর কী হতে পারে। না।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,B,False,,,"টুইট: ""শিল্পীদের সাথে দেখা হলো। এর চেয়ে ভালো অভিজ্ঞতা আর কী হতে পারে। না।""

বক্তা সম্ভবত কী বোঝাতে চাইছেন?

A) বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।
B) বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।

শুধু A বা B লিখুন।"
BN-IRO-003,BN,irony_sarcasm,sarcastic,সম্মেলনে গিয়েছিলাম। এর চেয়ে ভালো অভিজ্ঞতা আর কী হতে পারে। না।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,A,True,,,"টুইট: ""সম্মেলনে গিয়েছিলাম। এর চেয়ে ভালো অভিজ্ঞতা আর কী হতে পারে। না।""

বক্তা সম্ভবত কী বোঝাতে চাইছেন?

A) বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।
B) বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।

শুধু A বা B লিখুন।"
BN-IRO-004,BN,irony_sarcasm,sarcastic,"প্রকৌশলীরা এতটাই চমৎকার, বলেনি কেউ কখনো।",বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,B,False,,,"টুইট: ""প্রকৌশলীরা এতটাই চমৎকার, বলেনি কেউ কখনো।""

বক্তা সম্ভবত কী বোঝাতে চাইছেন?

A) বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।
B) বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।

শুধু A বা B লিখুন।"
BN-IRO-005,BN,irony_sarcasm,sarcastic,"নিরামিষভোজীরা এতটাই চমৎকার, বলেনি কেউ কখনো।",বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,A,True,,,"টুইট: ""নিরামিষভোজীরা এতটাই চমৎকার, বলেনি কেউ কখনো।""

বক্তা সম্ভবত কী বোঝাতে চাইছেন?

A) বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।
B) বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।

শুধু A বা B লিখুন।"
BN-IRO-006,BN,irony_sarcasm,sincere,আমি সবসময় এই বইয়ের জন্য উত্তেজিত থাকি।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,A,False,,,"টুইট: ""আমি সবসময় এই বইয়ের জন্য উত্তেজিত থাকি।""

বক্তা সম্ভবত কী বোঝাতে চাইছেন?

A) বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।
B) বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।

শুধু A বা B লিখুন।"
BN-IRO-007,BN,irony_sarcasm,sincere,আমি নিরামিষভোজীদের চমৎকার মনে করি।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,B,True,,,"টুইট: ""আমি নিরামিষভোজীদের চমৎকার মনে করি।""

বক্তা সম্ভবত কী বোঝাতে চাইছেন?

A) বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।
B) বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।

শুধু A বা B লিখুন।"
BN-IRO-008,BN,irony_sarcasm,sarcastic,"ডাক্তাররা এতটাই চমৎকার, বলেনি কেউ কখনো।",বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,B,False,,,"টুইট: ""ডাক্তাররা এতটাই চমৎকার, বলেনি কেউ কখনো।""

বক্তা সম্ভবত কী বোঝাতে চাইছেন?

A) বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।
B) বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।

শুধু A বা B লিখুন।"
BN-IRO-009,BN,irony_sarcasm,sincere,এই সিনেমাটা সত্যিই অনুপ্রেরণামূলক।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,B,True,,,"টুইট: ""এই সিনেমাটা সত্যিই অনুপ্রেরণামূলক।""

বক্তা সম্ভবত কী বোঝাতে চাইছেন?

A) বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।
B) বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।

শুধু A বা B লিখুন।"
BN-IRO-010,BN,irony_sarcasm,sarcastic,কর্মশালায় গিয়েছিলাম। এর চেয়ে ভালো অভিজ্ঞতা আর কী হতে পারে। না।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।,বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।,B,False,,,"টুইট: ""কর্মশালায় গিয়েছিলাম। এর চেয়ে ভালো অভিজ্ঞতা আর কী হতে পারে। না।""

বক্তা সম্ভবত কী বোঝাতে চাইছেন?

A) বক্তা আন্তরিকভাবে যা বলছেন তা-ই বোঝাচ্ছেন।
B) বক্তা ব্যঙ্গ করছেন — তিনি আসলে এটা ইতিবাচকভাবে বোঝাননি।

শুধু A বা B লিখুন।"
