SENTENCE_ID,ITEM_ID,LANGUAGE,PHENOMENON,SCALAR_TERM,CONDITION,SENTENCE,OPTION_LITERAL,OPTION_PRAGMATIC,OPTION_A,OPTION_B,EXPECTED,CORRECT_TYPE,COUNTERBALANCED,MODEL_RESPONSE,RUN1,RUN2,RUN3,MAJORITY_RESPONSE,CORRECT,PROMPT
SOME-001,BN-SOME-001-NC,BN,scalar_implicature,কিছু,no_context,কিছু মহিলার লাইব্রেরিতে যাওয়া দরকার।,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — এবং সম্ভবত সবাই,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — কিন্তু সবাই নয়,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — কিন্তু সবাই নয়,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — এবং সম্ভবত সবাই,A,pragmatic,True,A,,,,,True,"বাক্য: ""কিছু মহিলার লাইব্রেরিতে যাওয়া দরকার।""

A) অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — কিন্তু সবাই নয়
B) অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — এবং সম্ভবত সবাই

শুধু A বা B লিখুন।"
SOME-001,BN-SOME-001-UB,BN,scalar_implicature,কিছু,upper_bound_QUD,কিছু মহিলার লাইব্রেরিতে যাওয়া দরকার।,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — এবং সম্ভবত সবাই,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — কিন্তু সবাই নয়,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — এবং সম্ভবত সবাই,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — কিন্তু সবাই নয়,B,pragmatic,False,B,,,,,True,"A: ""সবাই কি মহিলার লাইব্রেরিতে যাওয়া দরকার?""
B: ""কিছু মহিলার লাইব্রেরিতে যাওয়া দরকার।""

A) অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — এবং সম্ভবত সবাই
B) অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — কিন্তু সবাই নয়

শুধু A বা B লিখুন।"
SOME-001,BN-SOME-001-LB,BN,scalar_implicature,কিছু,lower_bound_QUD,কিছু মহিলার লাইব্রেরিতে যাওয়া দরকার।,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — এবং সম্ভবত সবাই,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — কিন্তু সবাই নয়,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — কিন্তু সবাই নয়,অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — এবং সম্ভবত সবাই,B,literal,True,A,,,,,False,"A: ""কেউ কি মহিলার লাইব্রেরিতে যাওয়া দরকার?""
B: ""কিছু মহিলার লাইব্রেরিতে যাওয়া দরকার।""

A) অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — কিন্তু সবাই নয়
B) অন্তত একজন মহিলার লাইব্রেরিতে যাওয়া দরকার — এবং সম্ভবত সবাই

শুধু A বা B লিখুন।"
SOME-002,BN-SOME-002-NC,BN,scalar_implicature,কিছু,no_context,কিছু পুরুষ তার সমালোচনা করেছে।,অন্তত একজন পুরুষ তার সমালোচনা করেছে — এবং সম্ভবত সবাই,অন্তত একজন পুরুষ তার সমালোচনা করেছে — কিন্তু সবাই নয়,অন্তত একজন পুরুষ তার সমালোচনা করেছে — এবং সম্ভবত সবাই,অন্তত একজন পুরুষ তার সমালোচনা করেছে — কিন্তু সবাই নয়,B,pragmatic,False,A,,,,,False,"বাক্য: ""কিছু পুরুষ তার সমালোচনা করেছে।""

A) অন্তত একজন পুরুষ তার সমালোচনা করেছে — এবং সম্ভবত সবাই
B) অন্তত একজন পুরুষ তার সমালোচনা করেছে — কিন্তু সবাই নয়

শুধু A বা B লিখুন।"
SOME-002,BN-SOME-002-UB,BN,scalar_implicature,কিছু,upper_bound_QUD,কিছু পুরুষ তার সমালোচনা করেছে।,অন্তত একজন পুরুষ তার সমালোচনা করেছে — এবং সম্ভবত সবাই,অন্তত একজন পুরুষ তার সমালোচনা করেছে — কিন্তু সবাই নয়,অন্তত একজন পুরুষ তার সমালোচনা করেছে — কিন্তু সবাই নয়,অন্তত একজন পুরুষ তার সমালোচনা করেছে — এবং সম্ভবত সবাই,A,pragmatic,True,A,,,,,True,"A: ""সবাই কি পুরুষ তার সমালোচনা করেছে?""
B: ""কিছু পুরুষ তার সমালোচনা করেছে।""

A) অন্তত একজন পুরুষ তার সমালোচনা করেছে — কিন্তু সবাই নয়
B) অন্তত একজন পুরুষ তার সমালোচনা করেছে — এবং সম্ভবত সবাই

শুধু A বা B লিখুন।"
SOME-002,BN-SOME-002-LB,BN,scalar_implicature,কিছু,lower_bound_QUD,কিছু পুরুষ তার সমালোচনা করেছে।,অন্তত একজন পুরুষ তার সমালোচনা করেছে — এবং সম্ভবত সবাই,অন্তত একজন পুরুষ তার সমালোচনা করেছে — কিন্তু সবাই নয়,অন্তত একজন পুরুষ তার সমালোচনা করেছে — এবং সম্ভবত সবাই,অন্তত একজন পুরুষ তার সমালোচনা করেছে — কিন্তু সবাই নয়,A,literal,False,A,,,,,True,"A: ""কেউ কি পুরুষ তার সমালোচনা করেছে?""
B: ""কিছু পুরুষ তার সমালোচনা করেছে।""

A) অন্তত একজন পুরুষ তার সমালোচনা করেছে — এবং সম্ভবত সবাই
B) অন্তত একজন পুরুষ তার সমালোচনা করেছে — কিন্তু সবাই নয়

শুধু A বা B লিখুন।"
SOME-003,BN-SOME-003-NC,BN,scalar_implicature,কিছু,no_context,কিছু ডাক্তার দ্বিমত পোষণ করেছিলেন।,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — এবং সম্ভবত সবাই,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — কিন্তু সবাই নয়,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — কিন্তু সবাই নয়,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — এবং সম্ভবত সবাই,A,pragmatic,True,A,,,,,True,"বাক্য: ""কিছু ডাক্তার দ্বিমত পোষণ করেছিলেন।""

A) অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — কিন্তু সবাই নয়
B) অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — এবং সম্ভবত সবাই

শুধু A বা B লিখুন।"
SOME-003,BN-SOME-003-UB,BN,scalar_implicature,কিছু,upper_bound_QUD,কিছু ডাক্তার দ্বিমত পোষণ করেছিলেন।,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — এবং সম্ভবত সবাই,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — কিন্তু সবাই নয়,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — এবং সম্ভবত সবাই,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — কিন্তু সবাই নয়,B,pragmatic,False,B,,,,,True,"A: ""সবাই কি ডাক্তার দ্বিমত পোষণ করেছিলেন?""
B: ""কিছু ডাক্তার দ্বিমত পোষণ করেছিলেন।""

A) অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — এবং সম্ভবত সবাই
B) অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — কিন্তু সবাই নয়

শুধু A বা B লিখুন।"
SOME-003,BN-SOME-003-LB,BN,scalar_implicature,কিছু,lower_bound_QUD,কিছু ডাক্তার দ্বিমত পোষণ করেছিলেন।,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — এবং সম্ভবত সবাই,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — কিন্তু সবাই নয়,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — কিন্তু সবাই নয়,অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — এবং সম্ভবত সবাই,B,literal,True,A,,,,,False,"A: ""কেউ কি ডাক্তার দ্বিমত পোষণ করেছিলেন?""
B: ""কিছু ডাক্তার দ্বিমত পোষণ করেছিলেন।""

A) অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — কিন্তু সবাই নয়
B) অন্তত একজন ডাক্তার দ্বিমত পোষণ করেছিলেন — এবং সম্ভবত সবাই

শুধু A বা B লিখুন।"
SOME-004,BN-SOME-004-NC,BN,scalar_implicature,কিছু,no_context,কিছু শিক্ষার্থী অভিযোগ করেছিল।,অন্তত একজন শিক্ষার্থী অভিযোগ করেছিল — এবং সম্ভবত সবাই,অন্তত একজন শিক্ষার্থী অভিযোগ করেছিল — কিন্তু সবাই নয়,অন্তত একজন শিক্ষার্থী অভিযোগ করেছিল — এবং সম্ভবত সবাই,অন্তত একজন শিক্ষার্থী অভিযোগ করেছিল — কিন্তু সবাই নয়,B,pragmatic,False,A,,,,,False,"বাক্য: ""কিছু শিক্ষার্থী অভিযোগ করেছিল।""

A) অন্তত একজন শিক্ষার্থী অভিযোগ করেছিল — এবং সম্ভবত সবাই
B) অন্তত একজন শিক্ষার্থী অভিযোগ করেছিল — কিন্তু সবাই নয়

শুধু A বা B লিখুন।"
