ITEM_ID,LANGUAGE,PHENOMENON,LABEL,TWEET,OPTION_SARCASTIC,OPTION_SINCERE,OPTION_A,OPTION_B,EXPECTED,COUNTERBALANCED,MODEL_RESPONSE,CORRECT,PROMPT
EN-IRO-001,EN,irony_sarcasm,sincere,I genuinely love musicians.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,B,True,B,True,"Tweet: ""I genuinely love musicians.""

What does the speaker most likely mean?

A) The speaker is being sarcastic — they do not genuinely mean this positively.
B) The speaker sincerely means what they say.

Answer with only A or B."
EN-IRO-002,EN,irony_sarcasm,sarcastic,Met the artists. Best experience ever. Not.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,B,False,B,True,"Tweet: ""Met the artists. Best experience ever. Not.""

What does the speaker most likely mean?

A) The speaker sincerely means what they say.
B) The speaker is being sarcastic — they do not genuinely mean this positively.

Answer with only A or B."
EN-IRO-003,EN,irony_sarcasm,sarcastic,Went to the conference. Best experience ever. Not.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,A,True,A,True,"Tweet: ""Went to the conference. Best experience ever. Not.""

What does the speaker most likely mean?

A) The speaker is being sarcastic — they do not genuinely mean this positively.
B) The speaker sincerely means what they say.

Answer with only A or B."
EN-IRO-004,EN,irony_sarcasm,sarcastic,"Engineers are so wonderful, said no one ever.",The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,B,False,B,True,"Tweet: ""Engineers are so wonderful, said no one ever.""

What does the speaker most likely mean?

A) The speaker sincerely means what they say.
B) The speaker is being sarcastic — they do not genuinely mean this positively.

Answer with only A or B."
EN-IRO-005,EN,irony_sarcasm,sarcastic,"Vegetarians are so wonderful, said no one ever.",The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,A,True,A,True,"Tweet: ""Vegetarians are so wonderful, said no one ever.""

What does the speaker most likely mean?

A) The speaker is being sarcastic — they do not genuinely mean this positively.
B) The speaker sincerely means what they say.

Answer with only A or B."
EN-IRO-006,EN,irony_sarcasm,sincere,I am always excited for this book.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,A,False,A,True,"Tweet: ""I am always excited for this book.""

What does the speaker most likely mean?

A) The speaker sincerely means what they say.
B) The speaker is being sarcastic — they do not genuinely mean this positively.

Answer with only A or B."
EN-IRO-007,EN,irony_sarcasm,sincere,I find vegetarians to be wonderful.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,B,True,B,True,"Tweet: ""I find vegetarians to be wonderful.""

What does the speaker most likely mean?

A) The speaker is being sarcastic — they do not genuinely mean this positively.
B) The speaker sincerely means what they say.

Answer with only A or B."
EN-IRO-008,EN,irony_sarcasm,sarcastic,"Doctors are so wonderful, said no one ever.",The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,B,False,B,True,"Tweet: ""Doctors are so wonderful, said no one ever.""

What does the speaker most likely mean?

A) The speaker sincerely means what they say.
B) The speaker is being sarcastic — they do not genuinely mean this positively.

Answer with only A or B."
EN-IRO-009,EN,irony_sarcasm,sincere,This movie is truly inspiring.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,B,True,B,True,"Tweet: ""This movie is truly inspiring.""

What does the speaker most likely mean?

A) The speaker is being sarcastic — they do not genuinely mean this positively.
B) The speaker sincerely means what they say.

Answer with only A or B."
EN-IRO-010,EN,irony_sarcasm,sarcastic,Attended the workshop. Best experience ever. Not.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,B,False,B,True,"Tweet: ""Attended the workshop. Best experience ever. Not.""

What does the speaker most likely mean?

A) The speaker sincerely means what they say.
B) The speaker is being sarcastic — they do not genuinely mean this positively.

Answer with only A or B."
EN-IRO-011,EN,irony_sarcasm,sincere,Writers are genuinely amazing.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,The speaker is being sarcastic — they do not genuinely mean this positively.,The speaker sincerely means what they say.,B,True,B,True,"Tweet: ""Writers are genuinely amazing.""

What does the speaker most likely mean?

A) The speaker is being sarcastic — they do not genuinely mean this positively.
B) The speaker sincerely means what they say.

Answer with only A or B."
